id,medicine,therapeutic_category,subcategory,list_type,dosage_forms,text
eml-7a7ac96703c5,acamprosate calcium,24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS,24.5.1 Medicines for alcohol use disorders,core,Tablet: 333 mg,"acamprosate calcium is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS; 24.5.1 Medicines for alcohol use disorders. Listing: core. Available dosage forms/strengths: Tablet: 333 mg"
eml-326d4fb7ae7c,acetazolamide,21. OPHTHALMOLOGICAL PREPARATIONS,21.4 Miotics and antiglaucoma medicines,core,Tablet:250mg.,"acetazolamide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 21. OPHTHALMOLOGICAL PREPARATIONS; 21.4 Miotics and antiglaucoma medicines. Listing: core. Available dosage forms/strengths: Tablet:250mg."
eml-13c5c4592312,acetic acid,"28. EAR, NOSE AND THROAT MEDICINES",,core,"Topical:2%,in alcohol.","acetic acid is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 28. EAR, NOSE AND THROAT MEDICINES. Listing: core. Available dosage forms/strengths: Topical:2%,in alcohol."
eml-23cd46d97267,acetylcysteine,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,4.2 Specific,core,Injection:200mg/mLin10mLampoule.Oral liquid:10%[c];20%[c].,"acetylcysteine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS; 4.2 Specific. Listing: core. Available dosage forms/strengths: Injection:200mg/mLin10mLampoule.Oral liquid:10%[c];20%[c]."
eml-48cd109d33de,acetylsalicylic acid,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,2.1 Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs),core,Suppository: 50 mg to 150 mg.Tablet: 100 mg to 500 mg.,"acetylsalicylic acid is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 2. MEDICINES FOR PAIN AND PALLIATIVE CARE; 2.1 Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs). Listing: core. Available dosage forms/strengths: Suppository: 50 mg to 150 mg.Tablet: 100 mg to 500 mg."
eml-e0d1fe1b7dcc,acetylsalicylic acid,7. ANTIMIGRAINE MEDICINES,7.1 For treatment of acute attack,core,Tablet:300mg to500mg.,"acetylsalicylic acid is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 7.1 For treatment of acute attack. Listing: core. Available dosage forms/strengths: Tablet:300mg to500mg."
eml-adb7fd04e07b,acetylsalicylic acid,7. ANTIMIGRAINE MEDICINES,12.5.1 Anti-platelet medicines,core,Tablet: 100 mg.,"acetylsalicylic acid is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 12.5.1 Anti-platelet medicines. Listing: core. Available dosage forms/strengths: Tablet: 100 mg."
eml-330a6361e5ed,acetylsalicylic acid*(acute or chronic use),29. MEDICINES FOR DISEASES OF JOINTS,29.3 Medicines for juvenile joint diseases,complementary,"Suppository:50mg to150mg.Tablet:100mg to500mg.*For use for rheumatic fever, juvenile arthritis, Kawasaki disease.","acetylsalicylic acid*(acute or chronic use) is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 29. MEDICINES FOR DISEASES OF JOINTS; 29.3 Medicines for juvenile joint diseases. Listing: complementary. Available dosage forms/strengths: Suppository:50mg to150mg.Tablet:100mg to500mg.*For use for rheumatic fever, juvenile arthritis, Kawasaki disease."
eml-4e8ff76eb438,acetylsalicylic acid+□atorvastatin+□ramipril.,7. ANTIMIGRAINE MEDICINES,12.6 Lipid-lowering agents,core,Tablet:100mg+20mg+2.5mg;100mg+20mg+5mg;100mg+20mg+10mg;100mg+40mg+2.5mg;100mg+40mg+5mg;100mg+40mg+10mg.,"acetylsalicylic acid+□atorvastatin+□ramipril. is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 12.6 Lipid-lowering agents. Listing: core. Available dosage forms/strengths: Tablet:100mg+20mg+2.5mg;100mg+20mg+5mg;100mg+20mg+10mg;100mg+40mg+2.5mg;100mg+40mg+5mg;100mg+40mg+10mg."
eml-08ddef79f497,acetylsalicylic acid+□simvastatin+□ramipril+□atenol+□hydrochlorothiazide.,7. ANTIMIGRAINE MEDICINES,12.6 Lipid-lowering agents,core,Tablet:100mg+20mg+5mg+50mg+12.5mg.,"acetylsalicylic acid+□simvastatin+□ramipril+□atenol+□hydrochlorothiazide. is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 12.6 Lipid-lowering agents. Listing: core. Available dosage forms/strengths: Tablet:100mg+20mg+5mg+50mg+12.5mg."
eml-1ac3d9b1638e,aciclovir,21. OPHTHALMOLOGICAL PREPARATIONS,21.1 Anti-Infective agents,core,Ointment:3%w/w.,"aciclovir is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 21. OPHTHALMOLOGICAL PREPARATIONS; 21.1 Anti-Infective agents. Listing: core. Available dosage forms/strengths: Ointment:3%w/w."
